DataCite client name,has_schema_org,number_checked
European Chemical Bulletin,0,21
GESIS Leibniz Institute for the Social Sciences,0,152
"Institut für Wirtschaftsinformatik, Westfälische Wilhelms-Universität Münster",0,50
University of Chicago,0,135
Da Investigação às Práticas,0,82
Réseau sismologique et géodésique français,0,40
Human Capital,0,69
Onkološki inštitut Ljubljana / Institute of Oncology Ljubljana,0,16
Zentrum für ökonomische Bildung in Siegen,0,39
Editions des archives contemporaines,0,36
Axiom Data Science,0,26
University of Southampton,0,139
UIKTEN - Association for Information Communication Technology Education and Science,0,105
Universitätsbibliothek der TU Braunschweig,0,147
Universität Konstanz - Bibliothek,0,143
Széchenyi István Egyetem Építészeti és Épületszerkezettani Tanszék,0,5
"E-Pics 6, Sternwarte",0,28
OSTI Test DOI data center,0,20
Publishing house «Radiotekhnika»,0,2
Graphische Sammlung,0,135
Scientific Center on industrial and environmental safety in the mining industry,0,56
UCSB Writing Program,0,145
"Computational Geometry Lab, Carleton University",0,38
BOP: HASBOnline,0,5
Biocode Commons,0,1
Centre expert contre la cybercriminalité français,0,15
CERN Yellow Report: Monographs,0,8
Queensland University of Technology,0,3
iPlant Collaborative (at University of Arizona),0,36
National Data Service,0,1
Sheffield Hallam University,0,17
All-Russian Research Institute of Corn,0,17
Leibniz-Institut für Arbeitsforschung an der TU Dortmund (IfADo),0,86
University of Exeter,0,45
NAUCHTEKHLITIZDAT Publishing House,0,111
